"DateTime","CaseID","TradingPeriod","Pnodename","vSPDDollarsPerMegawattHour","vSPDLoadMegawatts","vSPDGenerationMegawatts"
"26-FEB-2025 11:55","251012025022255930","TP24","CML1102",77.36676,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CML2201",77.33798,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CML2202",77.33887,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","COL0111",78.70504,0.13062,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","COL0661",78.65696,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","COL0661 COL0",78.65696,0.00000,20.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CPK0111",82.26633,10.76686,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CPK0331",81.92235,80.75142,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CPK1101",81.60072,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CPK1102",81.59960,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CPK1103",81.76132,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CST0331",82.31553,37.07455,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CST1101",82.16313,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CUL0331",80.65047,5.37508,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CUL0661",80.73390,2.31186,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CUL2202",80.60855,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CUL2203",80.60721,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CYD0331",77.44036,3.00542,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CYD2201",77.42120,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","CYD2201 CYD0",77.42120,0.00000,90.00000
"26-FEB-2025 11:55","251012025022255930","TP24","DOB0331",82.24575,2.08068,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","DOB0661",82.18502,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","DOB1101",82.16132,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","DOB1102",82.24247,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","DRY2201",92.40464,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","DRY2202",92.40464,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","DVK0111",84.27150,8.83695,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","DVK1101",84.13328,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","DVK1102",84.16842,0.00000,0.00000
