"TradingPeriod","Pnodename","vSPDDollarsPerMegawattHour"
"TP24","JRD1101 JRD0",81.35086
"TP24","KAI0111",81.81315
"TP24","KAI0661",81.75607
"TP24","KAW0111",85.17670
"TP24","KAW0111 TAM0",85.17670
"TP24","KAW0112",85.40372
"TP24","KAW0112 ONU0",85.40372
"TP24","KAW1101",85.54349
"TP24","KAW1101 KAG0",85.54349
"TP24","KAW2201",86.21157
"TP24","KBT0661",81.39224
"TP24","KBT0662",81.39219
"TP24","KBY0661",81.41877
"TP24","KBY0662",81.41935
"TP24","KIK0111",80.79615
"TP24","KIK1101",80.81293
"TP24","KIK2201",81.06766
"TP24","KIN0111",91.48648
"TP24","KIN0112",91.18241
"TP24","KIN0112 KIN0",91.18241
"TP24","KIN0113",91.46111
"TP24","KIN0331",91.30903
"TP24","KIN1005",91.18241
"TP24","KIN1009",91.19980
"TP24","KIN1101",91.10364
"TP24","KIN1102",91.10364
"TP24","KMO0331",89.51264
"TP24","KMO1101",89.32390
"TP24","KMO1102",89.32390
"TP24","KMO1103",89.32390
"TP24","KMO2201",88.91263
"TP24","KOE1101",92.40443
"TP24","KOE1101 KSF0",92.40443
"TP24","KOE1101 NGB0",92.40443
"TP24","KPA1101",82.15020
"TP24","KPA1101 KPI1",82.15020
"TP24","KPO1101",91.62231
"TP24","KPO1101 KPO0",91.62231
"TP24","KPU0661",95.47981
"TP24","KPU1101",95.09416
"TP24","KPU1102",95.09446
"TP24","KUM0661",81.67177
"TP24","KUM0661 KUM0",81.67177
"TP24","KWA0111",81.76889
"TP24","KWA1101",81.62245
"TP24","KWA1102",81.62238
"TP24","LFD1101",90.42826
"TP24","LFD1102",90.42826
"TP24","LIV2201",77.15072
"TP24","LTN0331",81.90391
"TP24","LTN0331 TWF0",81.90391
"TP24","LTN2201",81.66547
"TP24","LTN2201 TUR0",81.66547
"TP24","LTN2202",82.03419
"TP24","MAN2201",77.01774
"TP24","MAN2201 MAN0",77.01774
"TP24","MAT1101",85.42959
"TP24","MAT1101 ANI0",85.42959
"TP24","MAT1101 MAT0",85.42959
"TP24","MCH0111",81.13727
"TP24","MCH1101",81.11206
"TP24","MDN1101",94.27136
"TP24","MDN2201",94.06659
"TP24","MGM0331",84.25214
"TP24","MGM1101",83.91013
"TP24","MHO0331",84.33966
"TP24","MHO0331 MHO0",84.33966
"TP24","MHO1101",84.01431
"TP24","MHO1102",84.01524
"TP24","MHT1102",81.55614
"TP24","MHT1103",81.55522
"TP24","MKE1101",80.75120
"TP24","MKE1101 MKE1",80.75120
"TP24","MKT1101",81.27649
"TP24","MLG0111",81.94183
"TP24","MLG0331",81.78145
"TP24","MLG1101",81.70424
"TP24","MLG1102",81.68960
"TP24","MNG0331",93.48709
"TP24","MNG1101",93.21262
"TP24","MNI0111",81.90213
"TP24","MNI1101",81.66932
"TP24","MPE1101",94.73059
"TP24","MST0331",84.32722
"TP24","MST1101",84.13331
"TP24","MTI2201",87.22690
"TP24","MTI2201 MTI0",87.22690
"TP24","MTM0331",90.12669
"TP24","MTM1101",89.93631
"TP24","MTN0331",83.95605
"TP24","MTN1101",83.67170
"TP24","MTN1102",83.66154
"TP24","MTO0331",95.97621
"TP24","MTO1101",95.59937
"TP24","MTO1102",95.59410
"TP24","MTR0331",85.91191
"TP24","MTR1101",85.76784
"TP24","MVE1101",93.46771
"TP24","MVE1102",93.46968
"TP24","NAP2201",86.25430
"TP24","NAP2201 NAP0",86.25430
"TP24","NAP2202",86.25430
"TP24","NAP2202 NTM0",86.25430
"TP24","NGA1101",92.40443
"TP24","NMA0331",79.58903
"TP24","NMA0331 WHL0",79.58903
"TP24","NMA2201",79.52302
"TP24","NPK0331",88.54252
"TP24","NPK1101",88.49890
"TP24","NSY0331",77.33977
"TP24","NSY0331 PAE0",77.33977
"TP24","NSY2201",77.29513
"TP24","NWD0661",79.98973
"TP24","NWD2201",79.96033
"TP24","OAM0331",79.20616
"TP24","OAM1101",78.90390
"TP24","OAM1102",79.39932
"TP24","OHA2201",76.72768
"TP24","OHA2201 OHA0",76.72768
"TP24","OHB2201",76.80490
"TP24","OHB2201 OHB0",76.80490
"TP24","OHC2201",76.64996
"TP24","OHC2201 OHC0",76.64996
"TP24","OHK2201",87.05149
"TP24","OHK2201 OHK0",87.05149
"TP24","OHW2201",90.01982
"TP24","OHW2202",90.01982
"TP24","OKE1101",88.80468
"TP24","OKI2201",86.38353
"TP24","OKI2201 OKI0",86.38353
"TP24","OKN0111",87.30266
"TP24","OKN1101",87.25965
"TP24","ONG0331",90.44101
"TP24","ONG1101",90.38805
"TP24","OPI2201",78.34298
"TP24","OPI2202",78.34886
"TP24","OPK0331",82.83697
"TP24","OPK1101",83.11363
"TP24","OPK1102",82.39329
"TP24","ORO1101",80.97474
"TP24","ORO1102",81.65700
"TP24","OTA0221",93.00051
"TP24","OTA1103",93.01868
"TP24","OTA1104",93.01868
"TP24","OTA1105",93.01868
"TP24","OTA1106",93.01868
"TP24","OTA1107",93.01868
"TP24","OTA1108",93.01868
"TP24","OTA1109",93.01868
"TP24","OTA110A",93.01868
"TP24","OTA2201",92.75751
"TP24","OTA2203",92.75540
"TP24","OTI0111",80.28578
"TP24","OTI0661",80.23004
"TP24","OWH0111",88.86939
"TP24","OWH1101",88.81660
"TP24","PAK0331",92.98945
"TP24","PAK2201",92.80997
"TP24","PAO1101",93.54795
"TP24","PEN0221",93.79780
"TP24","PEN0222",93.79780
"TP24","PEN0251",93.15369
"TP24","PEN0331",93.59495
"TP24","PEN1101",93.23318
"TP24","PEN2201",93.09390
"TP24","PIE1101",89.50780
"TP24","PNI0331",81.50233
"TP24","PNI1101",81.43249
"TP24","PNI1102",81.43312
"TP24","PPI2201",86.61115
"TP24","PPI2201 PPI0",86.61115
"TP24","PRM0331",81.77898
"TP24","PRM2201",81.74594
"TP24","PRM2202",81.74548
"TP24","PRT2201",81.74284
"TP24","PRT2202",81.74255
"TP24","RDF0331",88.61180
"TP24","RDF1101",88.40463
"TP24","RDF1102",88.40463
"TP24","RDF2201",88.10607
"TP24","RFC1101",81.56393
"TP24","RFN1101",81.56794
"TP24","RFN1102",81.55040
"TP24","ROS0221",93.91797
"TP24","ROS1101",93.69257
"TP24","ROT0111",89.27328
"TP24","ROT0331",89.39606
"TP24","ROT1101",88.91194
"TP24","ROT1101 WHE0",88.91194
"TP24","ROT1102",89.20732
"TP24","ROX1101",77.19642
"TP24","ROX1101 ROX0",77.19642
"TP24","ROX2201",77.57961
"TP24","ROX2201 ROX0",77.57961
"TP24","RPO2201",84.35517
"TP24","RPO2201 RPO0",84.35517
"TP24","RTO1101",92.49896
"TP24","RTR1101",88.39371
"TP24","SBK0661",81.58242
"TP24","SDN0331",78.12965
"TP24","SDN2201",78.08950
"TP24","SFD0331",83.00605
"TP24","SFD1101",82.83117
"TP24","SFD2201",82.92473
"TP24","SFD2201 SFD21",82.92473
