"DateTime","Scenario","Node","Price"
"26-FEB-2025 11:55","decrease conforming load 0.5%","SFD2201",82.918
"26-FEB-2025 11:55","decrease conforming load 0.5%","WKM2201",87.430
"26-FEB-2025 11:55","decrease conforming load 1.0%","BEN2201",55.892
"26-FEB-2025 11:55","decrease conforming load 1.0%","HAY2201",75.997
"26-FEB-2025 11:55","decrease conforming load 1.0%","INV2201",58.025
"26-FEB-2025 11:55","decrease conforming load 1.0%","ISL2201",58.475
"26-FEB-2025 11:55","decrease conforming load 1.0%","KIK2201",59.006
"26-FEB-2025 11:55","decrease conforming load 1.0%","OTA2201",86.765
"26-FEB-2025 11:55","decrease conforming load 1.0%","RDF2201",82.429
"26-FEB-2025 11:55","decrease conforming load 1.0%","SFD2201",77.588
"26-FEB-2025 11:55","decrease conforming load 1.0%","WKM2201",81.810
"26-FEB-2025 11:55","decrease conforming load 1.5%","BEN2201",55.892
"26-FEB-2025 11:55","decrease conforming load 1.5%","HAY2201",75.997
"26-FEB-2025 11:55","decrease conforming load 1.5%","INV2201",58.025
"26-FEB-2025 11:55","decrease conforming load 1.5%","ISL2201",58.475
"26-FEB-2025 11:55","decrease conforming load 1.5%","KIK2201",59.005
"26-FEB-2025 11:55","decrease conforming load 1.5%","OTA2201",86.765
"26-FEB-2025 11:55","decrease conforming load 1.5%","RDF2201",82.429
"26-FEB-2025 11:55","decrease conforming load 1.5%","SFD2201",77.588
"26-FEB-2025 11:55","decrease conforming load 1.5%","WKM2201",81.810
"26-FEB-2025 11:55","decrease conforming load 2.0%","BEN2201",1.548
"26-FEB-2025 11:55","decrease conforming load 2.0%","HAY2201",14.721
"26-FEB-2025 11:55","decrease conforming load 2.0%","INV2201",1.608
"26-FEB-2025 11:55","decrease conforming load 2.0%","ISL2201",1.620
"26-FEB-2025 11:55","decrease conforming load 2.0%","KIK2201",1.635
"26-FEB-2025 11:55","decrease conforming load 2.0%","OTA2201",16.807
"26-FEB-2025 11:55","decrease conforming load 2.0%","RDF2201",15.967
"26-FEB-2025 11:55","decrease conforming load 2.0%","SFD2201",15.029
"26-FEB-2025 11:55","decrease conforming load 2.0%","WKM2201",15.847
"26-FEB-2025 11:55","decrease conforming load 3.0%","BEN2201",0.031
"26-FEB-2025 11:55","decrease conforming load 3.0%","HAY2201",0.144
"26-FEB-2025 11:55","decrease conforming load 3.0%","INV2201",0.032
"26-FEB-2025 11:55","decrease conforming load 3.0%","ISL2201",0.032
"26-FEB-2025 11:55","decrease conforming load 3.0%","KIK2201",0.032
"26-FEB-2025 11:55","decrease conforming load 3.0%","OTA2201",0.165
"26-FEB-2025 11:55","decrease conforming load 3.0%","RDF2201",0.157
"26-FEB-2025 11:55","decrease conforming load 3.0%","SFD2201",0.147
"26-FEB-2025 11:55","decrease conforming load 3.0%","WKM2201",0.156
"26-FEB-2025 11:55","decrease conforming load 4.0%","BEN2201",0.031
"26-FEB-2025 11:55","decrease conforming load 4.0%","HAY2201",17.558
